"co_code","date","open","high","low","close","mcap","volume"
"5400","2022-07-06","3218.5","3268.5","3202.25","3260.75","1193125.18","2182144"
"5400","2022-07-07","3271","3319.4","3265.05","3287.85","1203041.21","1989921"
"5400","2022-07-15","3018.55","3028.9","2953","2994.6","1095739.52","4574806"
"5400","2022-07-12","3114.9","3136.2","3080.25","3084.7","1128707.58","3734815"
"5400","2022-07-14","3056","3057","2967","2998.75","1097258.03","4764908"
"5400","2022-07-13","3104","3110","3035","3038.75","1111894.24","3863530"
"5400","2022-07-19","3030.05","3078.95","3030.05","3074.25","1124883.87","1865074"
"5400","2022-07-18","3023","3076.95","3014.3","3063.5","1120950.39","3202795"
"5400","2022-07-21","3167","3184","3144.05","3177.3","1162590.39","2420640"
"5400","2022-07-20","3107.8","3171.95","3098.05","3164.8","1158016.58","3402251"
"5400","2022-07-27","3115","3194.1","3110","3188.85","1166816.6","1389808"
"5400","2022-07-22","3185","3197","3143.5","3171","1160285.19","2075886"
"5400","2022-07-25","3165","3186.45","3149.1","3166.75","1158730.09","1797504"
"5400","2022-07-26","3164.7","3168.9","3096.5","3115.9","1140123.82","2639367"
"5400","2022-07-29","3290","3317.3","3275","3301.9","1208182.17","2430257"
"5400","2022-07-28","3216","3264","3201.65","3260.5","1193033.7","2106333"
"5400","2022-08-04","3350","3387.9","3307.35","3354.95","1227593.44","2150567"
"5400","2022-08-02","3290","3312.9","3271.65","3291.8","1204486.53","1269114"
"5400","2022-08-01","3327","3327","3271","3298.8","1207047.87","1306913"
"5400","2022-08-03","3280","3349","3277.05","3339.5","1221940.21","2895824"
"5400","2022-08-10","3385","3385","3335","3354.25","1227337.31","1878359"
"5400","2022-08-05","3361.2","3377","3355","3365.05","1231289.08","1106933"
"5400","2022-08-08","3365","3378.9","3336","3374.45","1234728.59","1068836"
"5400","2022-08-17","3385.1","3417.95","3371.1","3401.1","1244479.96","1622326"
"5400","2022-08-11","3400","3428.7","3375.05","3422.5","1252310.33","1449248"
"5400","2022-08-12","3419","3419","3381.25","3401.55","1244644.62","1472354"
"5400","2022-08-16","3411","3414.85","3387.5","3392.7","1241406.36","839942"
"5400","2022-08-22","3365","3384.1","3347.4","3354.55","1227447.08","1536532"
"5400","2022-08-19","3387","3421.5","3371.25","3385.75","1238863.32","1398410"
"5400","2022-08-18","3390","3392","3362","3381.25","1237216.75","1430659"
"5400","2022-08-24","3292","3308","3250.2","3255.35","1191149.29","1691923"
"5400","2022-08-23","3319.95","3341.9","3270","3284.6","1201852.01","1849256"
"5400","2022-08-25","3276","3278.15","3214.75","3218.2","1177555.91","1946930"
"5400","2022-08-30","3155","3226.5","3142.1","3211.15","1174976.28","3431525"
"5400","2022-08-26","3234.3","3257","3216.8","3222.2","1179019.53","1457962"
"5400","2022-08-29","3125","3142.7","3081","3132.55","1146216.14","2539173"
"5400","2022-09-01","3190","3190","3121","3131.7","1145905.12","3546935"
"5400","2022-09-19","3036","3042","2987.8","3028.8","1108253.48","2072220"
"5400","2022-09-02","3163","3163","3120.3","3130.4","1145429.44","2052900"
